TrialNumber,Trial,ISI,Partner,ITI,cLeft,Reciprocate,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
14,14,5.00E-01,3,2,0,1,2,1,13,160.96,3,2,162.373,high,1.41319,1.58681,162.895,166.211,166.216,168.227,7.26742,168.228,170.211
15,15,5.00E-01,3,4,2,0,0,1,14,170.22,2,2,171.808,high,1.58772,1.41228,172.328,175.471,175.475,177.488,7.26823,177.488,181.471
16,16,2,2,2,8,0,4,1,15,181.481,3,4,183.076,low,1.59461,1.40539,183.596,188.232,188.236,190.257,8.7758,190.257,192.232
17,17,2,2,2,2,1,8,1,16,192.241,2,2,194.16,low,1.91982,1.08018,194.681,198.992,198.996,201.008,8.7677,201.008,202.992
18,18,3.50E+00,3,8,8,0,4,1,17,203.002,3,4,204.577,low,1.57479,1.42521,205.098,211.252,211.256,213.275,10.2731,213.275,221.252
19,19,2,2,2,4,1,2,1,18,221.263,3,2,222.927,low,1.66416,1.33584,223.455,228.014,228.019,230.026,8.76342,230.027,232.013
20,20,5.00E-01,3,4,8,1,2,1,19,232.021,3,2,233.829,low,1.80785,1.19215,234.352,237.272,237.276,239.29,7.26956,239.291,243.272
21,21,5.00E-01,2,2,8,0,2,1,20,243.276,3,2,244.882,low,1.60571,1.39429,245.404,248.527,248.531,250.538,7.26179,250.538,252.527
22,22,5.00E-01,1,4,0,1,4,1,21,252.538,3,4,253.897,high,1.35831,1.64169,254.421,257.789,257.795,259.804,7.26606,259.805,263.789
23,23,5.00E-01,2,4,0,1,4,1,22,263.794,2,0,265.451,low,1.65722,1.34278,265.973,269.045,269.046,271.054,7.25957,271.054,275.045
24,24,2,1,2,4,0,0,1,23,275.056,2,4,276.802,high,1.74582,1.25418,277.324,281.808,281.812,283.82,8.76354,283.82,285.808
25,25,2,2,4,4,0,0,1,24,285.812,2,4,287.519,high,1.70706,1.29294,288.041,292.563,292.567,294.585,8.77308,294.585,298.563
26,26,5.00E-01,3,2,0,0,4,1,25,298.575,3,4,299.956,high,1.38072,1.61928,300.477,303.825,303.83,305.853,7.27843,305.854,307.826
27,27,5.00E-01,3,2,0,1,8,1,26,307.832,3,8,309.404,high,1.57213,1.42787,309.928,313.082,313.087,315.103,7.27131,315.103,317.083
28,28,2,1,6,2,1,4,1,27,317.094,2,2,318.671,low,1.57734,1.42266,319.194,323.845,323.85,325.869,8.77492,325.869,331.845
29,29,3.50E+00,1,2,2,0,4,1,28,331.847,3,4,333.256,high,1.40865,1.59135,333.779,340.098,340.103,342.118,10.2705,342.118,344.098
30,30,5.00E-01,1,2,4,1,8,1,29,344.107,3,8,345.676,high,1.56829,1.43171,346.199,349.359,349.364,351.373,7.26583,351.374,353.358
31,31,3.50E+00,3,4,0,0,8,1,30,353.366,3,8,354.674,high,1.30837,1.69163,355.199,361.616,361.621,363.633,10.2677,363.634,367.617
32,32,2,1,4,8,0,2,1,31,367.628,3,2,369.18,low,1.5517,1.4483,369.7,374.379,374.384,376.393,8.76482,376.393,380.379
33,33,5.00E-01,3,2,2,1,4,1,32,380.391,3,4,381.811,high,1.42018,1.57982,382.336,385.642,385.646,387.663,7.27216,387.663,389.642
34,34,5.00E-01,1,2,8,0,4,1,33,389.65,3,4,391.183,low,1.53277,1.46723,391.704,394.901,394.906,396.912,7.26218,396.913,398.901
35,35,2,3,6,8,0,2,1,34,398.909,3,2,400.147,low,1.23835,1.76165,400.669,405.66,405.665,407.68,8.77062,407.68,413.66
36,36,2,1,6,8,1,2,1,35,413.665,3,2,414.969,low,1.30364,1.69636,415.489,420.416,420.421,422.429,8.76424,422.43,428.416
